Index,NumberOfTweets,NumberOfRetweets,NumberOfFollowers,MaxFollowers,Time
261,0,0,0,0,10
262,2,0,22049,18751,11
263,1,1,7282,7282,12
264,0,0,0,0,13
265,0,0,0,0,14
266,0,0,0,0,15
267,1,1,2063,2063,16
268,0,0,0,0,17
269,1,6,4063,4063,18
270,0,0,0,0,19
271,0,0,0,0,20
272,0,0,0,0,21
273,0,0,0,0,22
274,0,0,0,0,23
275,0,0,0,0,0
276,0,0,0,0,1
277,0,0,0,0,2
278,0,0,0,0,3
279,0,0,0,0,4
280,0,0,0,0,5
281,1,1,124850,124850,6
282,1,1,124848,124848,7
283,0,0,0,0,8
284,0,0,0,0,9
285,0,0,0,0,10
286,0,0,0,0,11
287,0,0,0,0,12
288,0,0,0,0,13
289,0,0,0,0,14
290,0,0,0,0,15
291,0,0,0,0,16
292,0,0,0,0,17
293,0,0,0,0,18
294,0,0,0,0,19
295,0,0,0,0,20
296,0,0,0,0,21
297,0,0,0,0,22
298,0,0,0,0,23
299,0,0,0,0,0
300,2,2,1976,988,1
301,1,1,565,565,2
302,1,1,657626,657626,3
303,0,0,0,0,4
304,1,1,14915,14915,5
305,1,0,126,126,6
306,1,1,38905,38905,7
307,0,0,0,0,8
308,1,0,82,82,9
309,5,5,215748,185116,10
310,4,2,38752,32726,11
311,1,1,19482,19482,12
312,5,3,12273,9543,13
313,6,4,415113,185188,14
314,3,3,41340,31163,15
315,6,4,1126876,1101000,16
316,12,11,237390,124437,17
317,6,4,149354,58062,18
318,0,0,0,0,19
319,0,0,0,0,20
320,0,0,0,0,21
321,0,0,0,0,22
322,0,0,0,0,23
323,0,0,0,0,0
324,0,0,0,0,1
325,0,0,0,0,2
326,1,1,130,130,3
327,1,1,14938,14938,4
328,0,0,0,0,5
329,0,0,0,0,6
330,1,0,405,405,7
331,2,2,56391,54740,8
332,1,1,54740,54740,9
333,1,1,18082,18082,10
334,0,0,0,0,11
335,1,1,101716,101716,12
336,2,2,186626,164559,13
337,2,2,1241371,1239300,14
338,0,0,0,0,15
339,1,1,15076,15076,16
340,4,5,32407,30757,17
341,1,1,144592,144592,18
342,0,0,0,0,19
343,0,0,0,0,20
344,0,0,0,0,21
345,0,0,0,0,22
346,0,0,0,0,23
347,0,0,0,0,0
348,1,1,5676,5676,1
349,0,0,0,0,2
350,0,0,0,0,3
351,0,0,0,0,4
352,0,0,0,0,5
353,1,1,17586,17586,6
354,2,2,10377,9857,7
355,1,1,54857,54857,8
356,3,1,92891,92506,9
357,6,2,109173,72665,10
358,1,1,1794,1794,11
359,3,2,29847,9949,12
360,1,1,6,6,13
361,0,0,0,0,14
362,2,1,87885,87505,15
363,0,0,0,0,16
364,0,0,0,0,17
365,0,0,0,0,18
366,0,0,0,0,19
367,3,2,112332,82069,20
368,1,1,5880,5880,21
369,0,0,0,0,22
370,0,0,0,0,23
371,1,2,5883,5883,0
372,0,0,0,0,1
373,0,0,0,0,2
374,0,0,0,0,3
375,1,1,1113947,1113947,4
376,1,1,132,132,5
377,0,0,0,0,6
378,2,1,45681,42953,7
379,1,1,2380,2380,8
380,0,0,0,0,9
381,4,2,58198,46538,10
382,2,1,19010,18867,11
383,2,2,81261,68924,12
384,1,1,4151,4151,13
385,1,1,61549,61549,14
386,3,3,143631,61555,15
387,1,1,1664,1664,16
388,3,1,17313,14459,17
389,2,2,51834,46485,18
390,1,0,67,67,19
391,2,1,1609,1596,20
392,1,1,339632,339632,21
393,1,1,13100,13100,22
394,0,0,0,0,23
395,19,0,121967,41410,0
396,16,0,63117,18880,1
397,31,0,110757,33524,2
398,21,0,78757,18883,3
399,42,3,261873,62456,4
400,59,1,333633,99236,5
