Index,NumberOfTweets,NumberOfRetweets,NumberOfFollowers,MaxFollowers,Time
386,2,0,26663,24491,15
387,4,2,4827,3392,16
388,5,3,104538,99508,17
389,9,7,790759,739321,18
390,8,7,13676,8952,19
391,11,9,166104,105728,20
392,4,4,114124,113224,21
393,5,2,5429,2618,22
394,1,2,566,566,23
395,21,0,8394,1486,0
396,10,0,6539,2607,1
397,12,0,26125,11672,2
398,6,0,19031,11671,3
399,22,0,21371,9412,4
400,31,0,137943,51299,5
401,40,0,220957,106124,6
402,69,2,363542,135587,7
403,135,15,1766347,1101082,8
404,150,4,270000,27945,9
405,132,0,224433,22796,10
406,122,2,554226,123556,11
407,135,1,793240,644889,12
408,170,4,949426,740302,13
409,135,6,137137,17386,14
410,127,1,150043,20238,15
411,88,0,136990,22229,16
412,82,0,94106,21809,17
413,70,1,58319,9758,18
414,128,9,1908024,1026114,19
415,128,1,232646,135728,20
416,110,1,98811,17435,21
417,84,1,52454,7320,22
418,41,0,56334,30111,23
419,12,0,8865,2277,0
420,20,0,11193,1712,1
421,17,1,5447,1912,2
422,13,0,2212,673,3
423,20,0,15222,2104,4
424,30,0,40565,23725,5
425,46,0,332403,135784,6
426,100,2,768990,135791,7
427,171,6,2341039,1102541,8
428,142,8,457140,135823,9
429,83,0,172695,40691,10
430,170,6,1836251,135840,11
431,175,3,1207704,135848,12
432,164,7,431148,113631,13
433,157,2,376046,47554,14
434,149,3,283579,56157,15
435,109,1,266928,39218,16
436,165,2,484026,245116,17
437,141,1,183677,18253,18
438,173,3,259244,47470,19
439,101,3,156072,67073,20
440,95,3,65745,10026,21
441,83,0,102750,12045,22
442,22,0,14874,5412,23
443,62,1,69866,28282,0
444,10,0,4552,2588,1
445,4,0,2214,1915,2
446,4,0,2492,1031,3
447,25,0,28644,9427,4
448,34,0,56805,16892,5
449,78,0,326762,144443,6
