0,1
1,1
2,4
3,2
4,1
5,1
6,2
7,1
8,0
9,55
10,162
11,14
12,0
13,2
14,7
15,35
16,87
17,41
18,18
19,0
20,1
21,0
22,1
23,0
24,1
25,1
26,1
27,1
28,1
29,1
30,0
31,1
32,0
33,2
34,1
35,2
36,2
37,1
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,1
47,0
48,1
49,0
50,3
51,1
52,7
53,1
54,2
55,2
56,6
57,2
58,2
59,2
60,2
61,3
62,3
63,0
64,1
65,1
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,1
76,3
77,4
78,1
79,3
80,0
81,1
82,2
83,2
84,1
85,0
86,2
87,2
88,2
89,1
90,0
91,1
92,1
93,1
94,0
95,0
96,0
97,0
98,0
99,5
100,3
101,8
102,2
103,15
104,9
105,2
106,28
107,324
108,75
109,107
110,254
111,116
112,72
113,61
114,35
115,22
116,17
117,7
118,6
119,7
120,16
121,11
122,33
123,36
124,41
125,61
126,30
127,44
128,31
129,20
130,24
131,26
132,12
133,12
134,26
135,10
136,15
137,17
138,12
139,5
140,3
141,0
142,1
143,2
144,3
145,5
146,16
147,17
148,21
149,16
150,14
151,7
152,2
153,4
154,23
155,13
156,21
157,21
158,17
159,19
160,29
161,19
162,11
163,5
164,2
165,1
166,2
167,6
168,6
169,7
170,12
171,13
172,7
173,14
174,14
175,20
176,25
177,18
178,17
179,30
180,21
181,17
182,10
183,13
184,20
185,12
186,4
187,7
188,2
189,1
190,1
191,4
192,2
193,7
194,12
195,15
196,30
197,20
198,18
199,12
200,10
201,4
202,3
203,1
204,30
205,19
206,32
207,43
208,29
209,18
210,19
211,11
212,12
213,2
214,3
215,3
216,3
217,18
218,20
219,25
220,25
221,20
222,33
223,35
224,31
225,28
226,25
227,24
228,26
229,27
230,32
231,22
232,15
233,19
234,6
235,2
236,6
237,5
238,1
239,1
240,2
241,10
242,21
243,17
244,18
245,26
246,28
247,51
248,51
249,24
250,34
251,25
252,21
253,27
254,45
255,43
256,18
257,25
258,11
259,11
260,3
261,4
262,3
263,6
264,5
265,10
266,30
267,64
268,87
269,141
270,92
271,84
272,78
273,114
274,104
275,39
276,44
277,55
278,50
279,45
280,52
281,27
282,30
283,12
284,7
285,15
286,12
287,18
288,21
289,27
290,32
291,69
292,58
293,67
294,74
295,80
296,26
297,109
298,108
299,49
300,114
301,75
302,72
303,83
304,50
305,40
306,35
307,14
308,8
309,5
310,11
311,20
312,19
313,33
314,48
315,65
316,111
317,162
318,207
319,243
320,131
321,89
322,161
323,74
324,76
325,98
326,54
327,61
328,47
329,42
330,24
331,8
332,15
333,5
334,14
335,20
336,34
337,9
338,59
339,79
340,92
341,151
342,118
343,103
344,124
345,96
346,124
347,81
348,94
349,88
350,82
351,41
352,5
353,5
354,4
355,23
356,74
357,53
358,75
359,120
360,170
361,208
362,407
363,563
364,689
365,817
366,768
367,537
368,568
369,697
370,714
371,640
372,778
373,435
374,503
375,597
376,59
377,371
378,182
379,135
380,81
381,86
382,112
383,173
384,75
385,71
386,563
387,1007
388,824
389,621
390,1209
391,1187
392,1010
393,937
394,758
395,595
396,94
397,167
398,125
399,122
400,121
401,97
402,43
403,50
404,40
405,34
406,22
407,39
408,47
409,71
410,118
411,197
412,227
413,245
414,280
415,330
416,380
417,341
418,357
419,570
420,896
421,955
422,697
423,547
424,732
425,684
426,504
427,486
428,459
429,308
430,347
431,400
432,788
433,1583
434,2320
435,2914
436,1409
437,4502
438,74351
439,110429
440,84647
441,65781
442,84677
443,92790
444,98157
445,59972
446,37986
447,5767
448,4765
449,4126
450,2795
451,1541
452,1152
453,919
454,1172
455,1544
456,1905
457,1843
458,2417
459,1642
460,2699
461,2292
462,1859
463,1720
464,1503
465,1498
466,1348
467,1193
468,1278
469,923
470,867
471,749
472,502
473,422
474,280
475,153
476,140
477,94
478,127
479,208
480,239
481,323
482,403
483,501
484,514
485,568
486,450
487,374
488,395
489,404
490,250
491,259
492,289
493,245
494,180
495,193
496,149
497,104
498,58
499,53
500,45
501,40
502,28
503,48
504,90
505,126
506,143
507,208
508,242
509,221
510,271
511,167
512,111
513,151
514,130
515,201
516,111
517,247
518,179
519,122
520,91
521,81
522,48
523,39
524,32
525,22
526,24
527,42
528,72
529,76
530,91
531,112
532,121
533,132
534,79
535,84
536,79
537,111
538,98
539,75
540,99
541,117
542,70
543,51
544,128
545,92
546,17
547,49
548,24
549,24
550,26
551,51
552,24
553,30
554,133
555,120
556,96
557,77
558,70
559,87
560,89
561,116
562,108
563,71
564,66
565,48
566,65
567,45
568,40
569,28
570,19
571,24
572,24
573,27
574,17
575,13
576,18
577,41
578,53
579,69
580,46
581,52
582,16
